date,temp_c
2024-01-20,36.2458
2024-01-21,36.1028
2024-01-22,35.8239
2024-01-23,36.1277
2024-01-24,36.2459
2024-01-25,36.2207
2024-01-26,36.1407
2024-01-27,36.233
2024-01-28,36.317
2024-01-29,36.1961
2024-01-30,36.3492
2024-01-31,36.3862
2024-02-01,36.5484
2024-02-02,36.8096
2024-02-03,36.4779
2024-02-04,36.3548
2024-02-05,36.6805
2024-02-06,36.6467
2024-02-07,36.3984
2024-02-08,36.5832
2024-02-09,36.3573
2024-02-10,36.3393
2024-02-11,36.5421
2024-02-12,36.462
2024-02-13,36.2564
2024-02-14,36.2136
2024-02-15,36.0266
2024-02-16,36.0444
2024-02-17,36.0591
2024-02-18,35.7769
2024-02-19,35.9969
2024-02-20,36.19
2024-02-21,35.9843
2024-02-22,36.0608
2024-02-23,36.3652
2024-02-24,35.7375
2024-02-25,36.0277
2024-02-26,36.1827
2024-02-27,35.9961
2024-02-28,36.4316
2024-02-29,36.4316
2024-03-01,36.6871
2024-03-02,36.6493
2024-03-03,36.2644
2024-03-04,36.573
2024-03-05,36.5573
2024-03-06,36.504
2024-03-07,36.3933
2024-03-08,36.285
2024-03-09,36.1078
2024-03-10,36.5141
2024-03-11,36.5539
2024-03-12,36.5563
2024-03-13,36.1303
2024-03-14,36.1824
2024-03-15,35.9206
2024-03-16,36.1512
2024-03-17,36.2161
2024-03-18,36.1272
2024-03-19,36.2433
2024-03-20,36.1456
2024-03-21,36.0201
2024-03-22,36.2329
2024-03-23,36.0578
2024-03-24,35.9095
2024-03-25,35.9357
2024-03-26,36.0726
2024-03-27,36.1476
2024-03-28,36.1686
2024-03-29,36.5042
2024-03-30,36.7422
2024-03-31,36.4264
2024-04-01,36.3913
2024-04-02,36.5768
2024-04-03,36.5691
2024-04-04,36.491
2024-04-05,36.3432
2024-04-06,36.5565
2024-04-07,36.2418
2024-04-08,36.681
