date,datetime,hrv_ms
2020-06-08,2020-06-08 12:40:00+02:00,32.6717
2020-06-08,2020-06-08 18:02:41+02:00,18.7758
2020-06-08,2020-06-08 19:46:15+02:00,26.4971
2020-06-08,2020-06-08 22:32:31+02:00,53.1084
2020-06-09,2020-06-09 03:45:00+02:00,25.0537
2020-06-09,2020-06-09 07:44:57+02:00,24.477
2020-06-09,2020-06-09 11:45:02+02:00,31.9511
2020-06-09,2020-06-09 15:45:03+02:00,25.9459
2020-06-10,2020-06-10 00:03:31+02:00,15.3032
2020-06-10,2020-06-10 03:44:59+02:00,63.368
2020-06-10,2020-06-10 07:44:58+02:00,27.3633
2020-06-10,2020-06-10 11:46:57+02:00,28.5734
2020-06-10,2020-06-10 23:17:55+02:00,16.7742
2020-06-11,2020-06-11 02:34:33+02:00,27.0936
2020-06-11,2020-06-11 06:34:37+02:00,39.5696
2020-06-12,2020-06-12 02:34:38+02:00,22.7802
2020-06-12,2020-06-12 06:34:36+02:00,24.7639
2020-06-12,2020-06-12 10:34:39+02:00,14.3679
2020-06-12,2020-06-12 16:43:50+02:00,19.7056
2020-06-12,2020-06-12 22:53:09+02:00,28.6569
2020-06-13,2020-06-13 10:51:32+02:00,35.1888
2020-06-13,2020-06-13 22:34:54+02:00,25.5551
2020-06-14,2020-06-14 02:34:34+02:00,14.9269
2020-06-14,2020-06-14 10:34:38+02:00,29.0474
2020-06-14,2020-06-14 15:22:21+02:00,32.4211
2020-06-14,2020-06-14 22:24:35+02:00,27.777
2020-06-14,2020-06-14 22:35:30+02:00,21.773
2020-06-15,2020-06-15 02:34:35+02:00,45.1477
2020-06-15,2020-06-15 06:34:34+02:00,36.2069
2020-06-15,2020-06-15 10:35:02+02:00,37.3355
2020-06-15,2020-06-15 15:18:02+02:00,33.5829
2020-06-15,2020-06-15 18:35:38+02:00,25.5098
2020-06-16,2020-06-16 02:34:33+02:00,80.4114
2020-06-16,2020-06-16 06:34:35+02:00,21.3029
2020-06-16,2020-06-16 10:34:58+02:00,24.2642
2020-06-16,2020-06-16 14:34:38+02:00,25.6965
2020-06-16,2020-06-16 23:52:27+02:00,23.5199
2020-06-17,2020-06-17 02:35:00+02:00,20.0031
2020-06-17,2020-06-17 06:34:34+02:00,23.5876
2020-06-17,2020-06-17 22:25:58+02:00,21.7931
2020-06-17,2020-06-17 22:53:55+02:00,9.20258
2020-06-18,2020-06-18 02:50:54+02:00,24.5166
2020-06-18,2020-06-18 06:34:37+02:00,26.2226
2020-06-18,2020-06-18 10:34:37+02:00,31.4325
2020-06-18,2020-06-18 14:35:20+02:00,24.4285
2020-06-18,2020-06-18 19:36:10+02:00,22.2345
2020-06-18,2020-06-18 22:35:00+02:00,36.3
2020-06-19,2020-06-19 02:34:48+02:00,33.1804
2020-06-19,2020-06-19 06:34:36+02:00,36.6504
2020-06-19,2020-06-19 10:34:34+02:00,21.629
2020-06-19,2020-06-19 16:00:32+02:00,16.4355
2020-06-19,2020-06-19 23:28:17+02:00,12.8014
2020-06-20,2020-06-20 02:34:35+02:00,24.408
2020-06-20,2020-06-20 06:34:36+02:00,29.4459
2020-06-20,2020-06-20 10:35:06+02:00,24.6323
2020-06-20,2020-06-20 22:59:22+02:00,10.7732
2020-06-20,2020-06-20 23:19:36+02:00,38.6442
2020-06-21,2020-06-21 02:34:37+02:00,20.9344
2020-06-21,2020-06-21 06:34:34+02:00,16.8597
2020-06-21,2020-06-21 15:07:05+02:00,37.2517
2020-06-21,2020-06-21 19:50:51+02:00,37.3999
2020-06-21,2020-06-21 22:52:23+02:00,18.4145
2020-06-22,2020-06-22 11:29:50+02:00,56.8149
2020-06-22,2020-06-22 14:34:36+02:00,30.7612
2020-06-22,2020-06-22 22:37:32+02:00,12.9856
2020-06-23,2020-06-23 02:34:35+02:00,23.4307
2020-06-23,2020-06-23 06:34:37+02:00,39.7893
2020-06-23,2020-06-23 10:34:33+02:00,40.1482
2020-06-23,2020-06-23 15:06:27+02:00,34.2719
2020-06-23,2020-06-23 18:34:41+02:00,42.7017
2020-06-23,2020-06-23 22:37:07+02:00,31.2415
2020-06-24,2020-06-24 02:34:35+02:00,19.8778
2020-06-24,2020-06-24 06:34:34+02:00,41.3038
2020-06-24,2020-06-24 10:34:36+02:00,28.8888
2020-06-24,2020-06-24 15:01:39+02:00,34.9616
2020-06-24,2020-06-24 22:36:01+02:00,22.5375
2020-06-25,2020-06-25 02:34:35+02:00,37.2332
2020-06-25,2020-06-25 06:34:33+02:00,39.124
2020-06-25,2020-06-25 10:35:21+02:00,43.3193
2020-06-25,2020-06-25 18:38:56+02:00,26.729
2020-06-25,2020-06-25 23:37:00+02:00,39.4192
2020-06-26,2020-06-26 02:34:42+02:00,17.0715
2020-06-26,2020-06-26 06:50:44+02:00,42.5191
2020-06-26,2020-06-26 10:34:35+02:00,28.5186
2020-06-26,2020-06-26 14:51:59+02:00,59.468
2020-06-26,2020-06-26 18:41:51+02:00,39.8787
2020-06-26,2020-06-26 23:38:23+02:00,24.431
2020-06-27,2020-06-27 02:34:33+02:00,20.0562
2020-06-27,2020-06-27 06:35:42+02:00,19.9484
2020-06-27,2020-06-27 15:27:00+02:00,20.0562
2020-06-27,2020-06-27 18:35:39+02:00,40.8511
2020-06-27,2020-06-27 23:07:45+02:00,41.0822
2020-06-28,2020-06-28 02:34:36+02:00,35.3642
2020-06-28,2020-06-28 06:34:37+02:00,29.9322
2020-06-28,2020-06-28 10:50:43+02:00,30.9708
